Main Theme,Sub Theme,Ticker
Energy,Grid Infrastructure,WEC
Energy,Grid Infrastructure,ES
Energy,Grid Infrastructure,FE
Energy,Power Equipment,GE
Energy,Power Equipment,ABBN
Energy,Power Equipment,SIE.DE
Energy,Power Equipment,EATON
Energy,Power Equipment,ETN
Energy,Power Equipment,SU
Energy,Power Equipment,HUBB
Energy,Power Equipment,EMR
Energy,Power Equipment,ITRI
Energy,Power Equipment,REXR
Energy,Power Equipment,PWR
Energy,Power Equipment,BW
Energy,Power Equipment,AMSC
Energy,Power Equipment,POWL
Energy,Power Equipment,GEV
Energy,Renewables,VWS.CO
Energy,Renewables,ORSTED.CO
Energy,Renewables,ENPH
Energy,Renewables,FSLR
Energy,Renewables,SEDG
Energy,Renewables,NOVA
Energy,Renewables,CSIQ
Energy,Renewables,JKS
Energy,Renewables,RUN
Energy,Renewables,NEE
Energy,Renewables,BE
Energy,Renewables,PLUG
Energy,Renewables,BEP
Energy,Renewables,CWEN
Energy,Renewables,ARRY
Energy,Renewables,AES
Energy,Nuclear Energy,CEG
Energy,Nuclear Energy,CCJ
Energy,Nuclear Energy,UEC
Energy,Nuclear Energy,DNN
Energy,Nuclear Energy,NXE
Energy,Nuclear Energy,UUUU
Energy,Nuclear Energy,URG
Energy,Nuclear Energy,SMR
Energy,Nuclear Energy,OKLO
Energy,Nuclear Energy,GEV
Energy,Nuclear Energy,VST
Energy,Nuclear Energy,BWX
Energy,Nuclear Energy,LEU
Energy,Nuclear Energy,LTBR
Energy,Nuclear Energy,NNE
Energy,Energy Storage & Batteries,TSLA
Energy,Energy Storage & Batteries,ENPH
Energy,Energy Storage & Batteries,PLUG
Energy,Energy Storage & Batteries,BE
Energy,Energy Storage & Batteries,QS
Energy,Energy Storage & Batteries,STEM
Energy,Energy Storage & Batteries,FLUX
Energy,Energy Storage & Batteries,FREYR
Energy,Energy Storage & Batteries,ENVX
Energy,Energy Storage & Batteries,AMPS
Energy,Energy Storage & Batteries,LNZA
Energy,Energy Storage & Batteries,BLDP
Energy,Energy Storage & Batteries,FCEL
Energy,Energy Storage & Batteries,HYLN
Energy,Energy Storage & Batteries,MVST
Energy,Oil & Gas,XOM
Energy,Oil & Gas,CVX
Energy,Oil & Gas,SHEL
Energy,Oil & Gas,BP
Energy,Oil & Gas,TTE.PA
Energy,Oil & Gas,COP
Energy,Oil & Gas,EOG
Energy,Oil & Gas,PXD
Energy,Oil & Gas,SLB
Energy,Oil & Gas,HAL
Energy,Oil & Gas,MPC
Energy,Oil & Gas,VLO
Energy,Oil & Gas,PSX
Energy,Oil & Gas,KMI
Energy,Oil & Gas,WMB
Healthcare,Medtech,ISRG
Healthcare,Medtech,MDT
Healthcare,Medtech,SYK
Healthcare,Medtech,BSX
Healthcare,Medtech,ABT
Healthcare,Medtech,DXCM
Healthcare,Medtech,EW
Healthcare,Medtech,IDXX
Healthcare,Medtech,ILMN
Healthcare,Medtech,ZBH
Healthcare,Medtech,BDX
Healthcare,Medtech,RMD
Healthcare,Medtech,PODD
Healthcare,Medtech,NVCR
Healthcare,Medtech,INSP
Healthcare,Medtech,SWAV
Healthcare,Biotech,VRTX
Healthcare,Biotech,REGN
Healthcare,Biotech,MRNA
Healthcare,Biotech,BNTX
Healthcare,Biotech,GILD
Healthcare,Biotech,AMGN
Healthcare,Biotech,BIIB
Healthcare,Biotech,INCY
Healthcare,Biotech,ALNY
Healthcare,Biotech,EXEL
Healthcare,Biotech,SGEN
Healthcare,Biotech,BMRN
Healthcare,Biotech,IONS
Healthcare,Biotech,HALO
Healthcare,Biotech,ACAD
Healthcare,Biotech,RARE
Healthcare,Pharma,LLY
Healthcare,Pharma,NVO
Healthcare,Pharma,PFE
Healthcare,Pharma,ABBV
Healthcare,Pharma,MRK
Healthcare,Pharma,JNJ
Healthcare,Pharma,BMY
Healthcare,Pharma,AZN
Healthcare,Pharma,GSK
Healthcare,Pharma,RHHBY
Healthcare,Pharma,SNY
Healthcare,Pharma,NVS
Healthcare,Pharma,TAK
Healthcare,Pharma,CTLT
Healthcare,Pharma,PRGO
Healthcare,AI in Healthcare,ISRG
Healthcare,AI in Healthcare,NVDA
Healthcare,AI in Healthcare,VEEV
Healthcare,AI in Healthcare,OMCL
Healthcare,AI in Healthcare,NVCR
Healthcare,AI in Healthcare,RXRX
Healthcare,AI in Healthcare,SDGR
Healthcare,AI in Healthcare,EXAI
Healthcare,AI in Healthcare,ABCL
Healthcare,AI in Healthcare,INVA
Healthcare,AI in Healthcare,TVTX
Healthcare,AI in Healthcare,AAPL
Healthcare,AI in Healthcare,MSFT
Healthcare,AI in Healthcare,IBM
Healthcare,AI in Healthcare,GEHC
Finance,Fintech,SQ
Finance,Fintech,AXP
Finance,Fintech,PYPL
Finance,Fintech,ADYEN.AS
Finance,Fintech,AFRM
Finance,Fintech,COIN
Finance,Fintech,NU
Finance,Fintech,SOFI
Finance,Fintech,FIS
Finance,Fintech,GPN
Finance,Fintech,V
Finance,Fintech,MA
Finance,Fintech,WISE.L
Finance,Fintech,PAYX
Finance,Fintech,WEX
Finance,Fintech,FLYW
Finance,Banks,JPM
Finance,Banks,BAC
Finance,Banks,C
Finance,Banks,WFC
Finance,Banks,GS
Finance,Banks,MS
Finance,Banks,DB
Finance,Banks,UBS
Finance,Banks,HSBC
Finance,Banks,BNP.PA
Finance,Banks,SAN.MC
Finance,Banks,ING
Finance,Banks,LLOY.L
Finance,Banks,MUFG
Finance,Banks,8306.T
Finance,Banks,TD
Finance,Asset Management,BLK
Finance,Asset Management,BAM
Finance,Asset Management,APO
Finance,Asset Management,KKR
Finance,Asset Management,CG
Finance,Asset Management,BX
Finance,Asset Management,ARES
Finance,Asset Management,TPG
Finance,Asset Management,IVZ
Finance,Asset Management,WDR
Finance,Asset Management,AMG
Finance,Asset Management,BEN
Finance,Asset Management,APAM
Finance,Asset Management,VCNX
Finance,Asset Management,SEIC
Finance,Insurance,BRK-B
Finance,Insurance,AIG
Finance,Insurance,MET
Finance,Insurance,PRU
Finance,Insurance,AFL
Finance,Insurance,CB
Finance,Insurance,TRV
Finance,Insurance,PGR
Finance,Insurance,HIG
Finance,Insurance,ALL
Finance,Insurance,ACGL
Finance,Insurance,RNR
Finance,Insurance,ERIE
Finance,Insurance,CINF
Finance,Insurance,L
Industrials,Defense,LMT
Industrials,Defense,NOC
Industrials,Defense,RTX
Industrials,Defense,BA
Industrials,Defense,GD
Industrials,Defense,LHX
Industrials,Defense,SAF.PA
Industrials,Defense,RR.L
Industrials,Defense,KTOS
Industrials,Defense,PLTR
Industrials,Defense,HII
Industrials,Defense,TDG
Industrials,Defense,LDOS
Industrials,Defense,SAIC
Industrials,Defense,DRS
Industrials,Defense,BWXT
Industrials,Aerospace,BA
Industrials,Aerospace,AIR.PA
Industrials,Aerospace,TDG
Industrials,Aerospace,HWM
Industrials,Aerospace,SPR
Industrials,Aerospace,AXON
Industrials,Aerospace,KTOS
Industrials,Aerospace,RKLB
Industrials,Aerospace,ATRO
Industrials,Aerospace,HEI
Industrials,Aerospace,TGI
Industrials,Aerospace,CPA
Industrials,Aerospace,DAL
Industrials,Aerospace,UAL
Industrials,Aerospace,ERJ
Industrials,Infrastructure & Construction,PWR
Industrials,Infrastructure & Construction,ACM
Industrials,Infrastructure & Construction,J
Industrials,Infrastructure & Construction,FLR
Industrials,Infrastructure & Construction,MTZ
Industrials,Infrastructure & Construction,EME
Industrials,Infrastructure & Construction,STLD
Industrials,Infrastructure & Construction,NUE
Industrials,Infrastructure & Construction,X
Industrials,Infrastructure & Construction,CLF
Industrials,Infrastructure & Construction,MLM
Industrials,Infrastructure & Construction,VMC
Industrials,Infrastructure & Construction,CRH
Industrials,Infrastructure & Construction,EXP
Industrials,Infrastructure & Construction,SUM
Industrials,Logistics & Transport,UPS
Industrials,Logistics & Transport,FDX
Industrials,Logistics & Transport,XPO
Industrials,Logistics & Transport,ODFL
Industrials,Logistics & Transport,SAIA
Industrials,Logistics & Transport,JBHT
Industrials,Logistics & Transport,WERN
Industrials,Logistics & Transport,KNX
Industrials,Logistics & Transport,CHRW
Industrials,Logistics & Transport,EXPD
Industrials,Logistics & Transport,GXO
Industrials,Logistics & Transport,DSGX
Industrials,Logistics & Transport,GRAB
Industrials,Logistics & Transport,LYFT
Industrials,Logistics & Transport,UBER
Consumer & Retail,E-Commerce,AMZN
Consumer & Retail,E-Commerce,SHOP
Consumer & Retail,E-Commerce,MELI
Consumer & Retail,E-Commerce,SE
Consumer & Retail,E-Commerce,CPNG
Consumer & Retail,E-Commerce,BABA
Consumer & Retail,E-Commerce,JD
Consumer & Retail,E-Commerce,PDD
Consumer & Retail,E-Commerce,ETSY
Consumer & Retail,E-Commerce,EBAY
Consumer & Retail,E-Commerce,WMT
Consumer & Retail,E-Commerce,TGT
Consumer & Retail,E-Commerce,COST
Consumer & Retail,E-Commerce,CHWY
Consumer & Retail,E-Commerce,W
Consumer & Retail,Luxury & Brands,MC.PA
Consumer & Retail,Luxury & Brands,RMS.PA
Consumer & Retail,Luxury & Brands,CFR.SW
Consumer & Retail,Luxury & Brands,KER.PA
Consumer & Retail,Luxury & Brands,BURBY
Consumer & Retail,Luxury & Brands,MONC.MI
Consumer & Retail,Luxury & Brands,NKE
Consumer & Retail,Luxury & Brands,ADDYY
Consumer & Retail,Luxury & Brands,EL
Consumer & Retail,Luxury & Brands,TPR
Consumer & Retail,Luxury & Brands,RL
Consumer & Retail,Luxury & Brands,CPRI
Consumer & Retail,Luxury & Brands,PVH
Consumer & Retail,Luxury & Brands,G-III
Consumer & Retail,Luxury & Brands,VFC
Consumer & Retail,Luxury & Brands,LULU
Consumer & Retail,Food & Beverages,NESN.SW
Consumer & Retail,Food & Beverages,KO
Consumer & Retail,Food & Beverages,PEP
Consumer & Retail,Food & Beverages,MDLZ
Consumer & Retail,Food & Beverages,K
Consumer & Retail,Food & Beverages,GIS
Consumer & Retail,Food & Beverages,CPB
Consumer & Retail,Food & Beverages,SJM
Consumer & Retail,Food & Beverages,MKC
Consumer & Retail,Food & Beverages,HRL
Consumer & Retail,Food & Beverages,STZ
Consumer & Retail,Food & Beverages,SAM
Consumer & Retail,Food & Beverages,TAP
Consumer & Retail,Food & Beverages,BUD
Consumer & Retail,Food & Beverages,HEINY
Consumer & Retail,Gaming & Entertainment,MSFT
Consumer & Retail,Gaming & Entertainment,EA
Consumer & Retail,Gaming & Entertainment,TTWO
Consumer & Retail,Gaming & Entertainment,RBLX
Consumer & Retail,Gaming & Entertainment,U
Consumer & Retail,Gaming & Entertainment,NTDOY
Consumer & Retail,Gaming & Entertainment,SONY
Consumer & Retail,Gaming & Entertainment,NFLX
Consumer & Retail,Gaming & Entertainment,DIS
Consumer & Retail,Gaming & Entertainment,LYV
Consumer & Retail,Gaming & Entertainment,MSGS
Consumer & Retail,Gaming & Entertainment,IMAX
Consumer & Retail,Gaming & Entertainment,SKLZ
Consumer & Retail,Gaming & Entertainment,DKNG
Consumer & Retail,Gaming & Entertainment,RSI
Real Assets,Real Estate (REITs),AMT
Real Assets,Real Estate (REITs),PLD
Real Assets,Real Estate (REITs),EQIX
Real Assets,Real Estate (REITs),CCI
Real Assets,Real Estate (REITs),PSA
Real Assets,Real Estate (REITs),O
Real Assets,Real Estate (REITs),VICI
Real Assets,Real Estate (REITs),WPC
Real Assets,Real Estate (REITs),STAG
Real Assets,Real Estate (REITs),COLD
Real Assets,Real Estate (REITs),EXR
Real Assets,Real Estate (REITs),CUBE
Real Assets,Real Estate (REITs),LSI
Real Assets,Real Estate (REITs),NSA
Real Assets,Real Estate (REITs),REXR
Real Assets,Commodities & Mining,RIO
Real Assets,Commodities & Mining,BHP
Real Assets,Commodities & Mining,VALE
Real Assets,Commodities & Mining,FCX
Real Assets,Commodities & Mining,AA
Real Assets,Commodities & Mining,NEM
Real Assets,Commodities & Mining,GOLD
Real Assets,Commodities & Mining,AEM
Real Assets,Commodities & Mining,KGC
Real Assets,Commodities & Mining,WPM
Real Assets,Commodities & Mining,MP
Real Assets,Commodities & Mining,LYNAS
Real Assets,Commodities & Mining,NOVONIX
Real Assets,Commodities & Mining,ILUKA
Real Assets,Commodities & Mining,SBSW
Real Assets,Agriculture,DE
Real Assets,Agriculture,AGCO
Real Assets,Agriculture,CNH
Real Assets,Agriculture,CF
Real Assets,Agriculture,MOS
Real Assets,Agriculture,NTR
Real Assets,Agriculture,FMC
Real Assets,Agriculture,ADM
Real Assets,Agriculture,BG
Real Assets,Agriculture,INGR
Real Assets,Agriculture,SFM
Real Assets,Agriculture,CALM
Real Assets,Agriculture,VITL
Real Assets,Agriculture,APPH
Real Assets,Agriculture,HYFM
Mobility & Transport Tech,Electric Vehicles,TSLA
Mobility & Transport Tech,Electric Vehicles,NIO
Mobility & Transport Tech,Electric Vehicles,LI
Mobility & Transport Tech,Electric Vehicles,XPEV
Mobility & Transport Tech,Electric Vehicles,RIVN
Mobility & Transport Tech,Electric Vehicles,LCID
Mobility & Transport Tech,Electric Vehicles,FSR
Mobility & Transport Tech,Electric Vehicles,WKHS
Mobility & Transport Tech,Electric Vehicles,GOEV
Mobility & Transport Tech,Electric Vehicles,GM
Mobility & Transport Tech,Electric Vehicles,F
Mobility & Transport Tech,Electric Vehicles,STLA
Mobility & Transport Tech,Electric Vehicles,BMW.DE
Mobility & Transport Tech,Electric Vehicles,VOW3.DE
Mobility & Transport Tech,Electric Vehicles,HMC
Mobility & Transport Tech,Autonomous Driving,TSLA
Mobility & Transport Tech,Autonomous Driving,GOOGL
Mobility & Transport Tech,Autonomous Driving,MBLY
Mobility & Transport Tech,Autonomous Driving,APTV
Mobility & Transport Tech,Autonomous Driving,QCOM
Mobility & Transport Tech,Autonomous Driving,INVZ
Mobility & Transport Tech,Autonomous Driving,AEVA
Mobility & Transport Tech,Autonomous Driving,OUST
Mobility & Transport Tech,Autonomous Driving,LIDR
Mobility & Transport Tech,Autonomous Driving,LAZR
Mobility & Transport Tech,Autonomous Driving,VLDR
Mobility & Transport Tech,Autonomous Driving,AUR
Mobility & Transport Tech,Autonomous Driving,PLUS
Mobility & Transport Tech,Autonomous Driving,MOBILEYE
Mobility & Transport Tech,Autonomous Driving,INDI
Mobility & Transport Tech,Space,RKLB
Mobility & Transport Tech,Space,ASTS
Mobility & Transport Tech,Space,PL
Mobility & Transport Tech,Space,BKSY
Mobility & Transport Tech,Space,SATL
Mobility & Transport Tech,Space,KTOS
Mobility & Transport Tech,Space,NOC
Mobility & Transport Tech,Space,LMT
Mobility & Transport Tech,Space,MAXR
Mobility & Transport Tech,Space,GSAT
Mobility & Transport Tech,Space,ORBC
Mobility & Transport Tech,Space,BA
Mobility & Transport Tech,Space,IRDM
Mobility & Transport Tech,Space,SPIR
Mobility & Transport Tech,Space,MNTS
